use evern; 
INSERT INTO roles (nombre) VALUES ('Admin'); 
INSERT INTO roles (nombre) VALUES ('User'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Ornithology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Entomology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Helmitology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Herpetology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Ichthyology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Theriology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Botany'); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'L4nldEm31d@gmail.com', 'Nichole', 'zTUs6n4u5x', 391, 451637888, '2017-03-07', 'Wheeler', '2017-03-07', 'L4nldEm31d', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'LanemeLdid@gmail.com', 'Will', 'AmrqH6CgJK', 647, 608113647, '2017-03-07', 'Holcomb', '2017-03-07', 'LanemeLdid', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'EmeraldOfMurmer@gmail.com', 'Shaurya', 'ugg8Vz96rB', 182, 384657261, '2017-03-07', 'Blackwell', '2017-03-07', 'EmeraldOfMurmer', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Emeraldoff@gmail.com', 'Eden', 'WwfCuqQRzg', 70, 436117964, '2017-03-07', 'Austin', '2017-03-07', 'Emeraldoff', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'EmeraldThePaltry@gmail.com', 'Aleksandra', 'eRkEHzFuVN', 232, 54602640, '2017-03-07', 'Aguirre', '2017-03-07', 'EmeraldThePaltry', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Ruddyhau@gmail.com', 'Kirsten', 'ujcxCyJEdu', 914, 10112084, '2017-03-07', 'Foley', '2017-03-07', 'Ruddyhau', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Zoneoff@gmail.com', 'Hughie', 'k9Exm8268g', 863, 810573627, '2017-03-07', 'Christensen', '2017-03-07', 'Zoneoff', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'z0n3ruddy@gmail.com', 'Roy', 'hMbFjCRn6w', 675, 725539118, '2017-03-07', 'Guthrie', '2017-03-07', 'z0n3ruddy', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'ZoneTheUltra@gmail.com', 'Lola', 'TC2xMNqjVz', 319, 51605782, '2017-03-07', 'French', '2017-03-07', 'ZoneTheUltra', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Cyandyeovski@gmail.com', 'Charmaine', 'wfjn6LPe7n', 727, 262657176, '2017-03-07', 'Grey', '2017-03-07', 'Cyandyeovski', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Vacuousson@gmail.com', 'Frederic', 'D2U7kSxHtg', 376, 884310083, '2017-03-07', 'Andrew', '2017-03-07', 'Vacuousson', 7); 
